,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hours),Snow inches(last 3hours)
0,Beringovskiy,RU,2020-04-02 13:28:22,63.05,179.32,27.07,98,86,9.28,light snow,0,0.49
1,Asau,RO,2020-04-02 13:28:22,46.43,26.4,55.0,27,4,10.29,clear sky,0,0
2,Tolaga Bay,NZ,2020-04-02 13:28:22,-38.37,178.3,57.9,83,57,15.14,light rain,0.25,0
3,Hermanus,ZA,2020-04-02 13:28:23,-34.42,19.23,87.01,42,0,8.99,clear sky,0,0
4,Albany,US,2020-04-02 13:25:22,42.6,-73.97,43.0,60,75,6.93,broken clouds,0,0
5,Severo-Kurilsk,RU,2020-04-02 13:28:23,50.68,156.12,33.22,93,100,18.72,light snow,0,0.47
6,Atuona,PF,2020-04-02 13:28:23,-9.8,-139.03,81.59,78,17,11.92,light rain,0.52,0
7,Cairns,AU,2020-04-02 13:28:02,-16.92,145.77,77.0,78,72,4.7,broken clouds,0,0
8,Jequie,BR,2020-04-02 13:28:24,-13.86,-40.08,81.16,66,60,2.04,light rain,0.22,0
9,Dikson,RU,2020-04-02 13:28:24,73.51,80.55,9.19,91,100,24.02,overcast clouds,0,0
10,Provideniya,RU,2020-04-02 13:28:24,64.38,-173.3,17.02,95,76,4.85,broken clouds,0,0
11,Airai,TL,2020-04-02 13:28:25,-8.93,125.41,62.71,74,81,1.34,light rain,0.25,0
12,Cervo,ES,2020-04-02 13:28:25,43.67,-7.41,54.0,86,94,11.01,light rain,0.21,0
13,Djambala,CG,2020-04-02 13:28:25,-2.54,14.75,85.59,48,31,5.61,light rain,1.51,0
14,Port Macquarie,AU,2020-04-02 13:28:26,-31.43,152.92,70.0,100,100,14.25,light rain,1.83,0
15,Iqaluit,CA,2020-04-02 13:28:26,63.75,-68.51,-9.0,63,20,1.99,few clouds,0,0
16,Puerto Ayora,EC,2020-04-02 13:28:26,-0.74,-90.35,80.6,78,20,4.7,few clouds,0,0
17,Busselton,AU,2020-04-02 13:28:26,-33.65,115.33,55.99,45,26,13.06,scattered clouds,0,0
18,Hobart,AU,2020-04-02 13:28:26,-42.88,147.33,59.0,93,90,9.17,overcast clouds,0,0
19,Leningradskiy,RU,2020-04-02 13:28:26,69.38,178.42,2.64,89,0,4.34,clear sky,0,0
20,Georgetown,MY,2020-04-02 13:28:27,5.41,100.34,82.4,94,40,3.36,scattered clouds,0,0
21,Muisne,EC,2020-04-02 13:28:27,0.6,-80.03,77.0,88,40,4.7,scattered clouds,0,0
22,Kodiak,US,2020-04-02 13:28:27,57.79,-152.41,37.4,86,90,8.05,light rain,0,0
23,Guspini,IT,2020-04-02 13:28:27,39.54,8.63,59.0,58,20,10.29,few clouds,0,0
24,Wanning,CN,2020-04-02 13:28:27,18.8,110.4,77.59,85,51,8.57,light rain,0.14,0
25,Sioux Lookout,CA,2020-04-02 13:28:27,50.1,-91.92,35.6,80,90,4.7,overcast clouds,0,0
26,Navrongo,GH,2020-04-02 13:28:28,10.9,-1.09,102.33,21,57,3.2,broken clouds,0,0
27,Fengkou,CN,2020-04-02 13:28:28,30.08,113.27,58.86,74,86,4.23,overcast clouds,0,0
28,Vaini,TO,2020-04-02 13:28:28,-21.2,-175.2,73.4,94,90,2.24,light intensity shower rain,0,0
29,Kenai,US,2020-04-02 13:28:28,60.55,-151.26,27.0,86,90,10.29,light snow,0,0
30,Mataura,NZ,2020-04-02 13:28:28,-46.19,168.86,53.01,94,98,1.99,overcast clouds,0,0
